id,conference name,conference abbreviation,2013,2014,2017,2018,2020,2021,2023
4,3-D Digital Imaging and Modelling,3DIM,C,C,C,C,,,
5,A Satellite workshop on Formal Approaches to Testing of Software,FATES,C,C,C,C,,,
2264,AAAI Conference on Human Computation and Crowdsourcing,HCOMP,,,,,,B,B
8,Accounting and Finance Association of Australia and New Zealand Conference,AFAANZ,Australasian,Australasian,Australasian,Australasian,,,
9,"ACIS Conference on Software Engineering Research, Management and Applications",SERA,C,C,C,C,C,C,C
10,ACM Annual Computer Science Conference,CSC,C,C,C,C,,,
11,"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,A*,A*,A*,A*,A*,A*,A*
12,ACM Conference on Computer and Communications Security,CCS,A*,A*,A*,A*,A*,A*,A*
13,ACM Conference on Computer Supported Cooperative Work,CSCW,A,A,A,A,A,A,A
2085,ACM Conference on Digital Libraries,JCDL,A*,A*,A*,A*,,,
14,ACM Conference on Economics and Computation,EC,B,B,B,A*,A*,A*,A*
15,ACM Conference on Embedded Networked Sensor Systems,SENSYS,A*,A*,A*,A*,A*,A*,A*
16,ACM Conference on Embedded Software,EMSOFT,A,A,A,A,A,Journal published,Journal published
17,ACM Conference on Hypertext and Social Media,Hypertext,A,A,A,A,,,
18,ACM Conference on Object Oriented Programming Systems Languages and Applications,OOPSLA,A*,A*,A*,A*,A*,A,A
2313,ACM Conference on Security and Privacy in Wireless and Mobile Networks,ACM_WiSec,,,,,,,B
20,ACM Digital Rights Management Workshop,DRM,C,C,C,C,,,
21,ACM Information Technology Education,SIGITE,C,C,C,C,National: USA,National: USA,National: USA
2319,ACM Int'l Symposium on Field Programmable Gate Arrays,FPGA,,,,,,,TBR
23,"ACM International Conference on Advances in Computer Entertainment (merged with DIMEA, Digital Interactive Media in Entertainment and Arts, in 2009)",ACE,B,B,B,B,B,B,C
22,ACM International Conference on Advances in Geographic Information Systems,SIGSPATIAL,B,B,B,A,National: USA,A,A
24,ACM International Conference on Emerging Networking Experiments and Technologies,CoNEXT,A,A,A,A,A,A,A
25,ACM International Conference on Information and Knowledge Management,CIKM,A,A,A,A,A,A,A
1488,ACM International Conference on Interactive Surfaces and Spaces (was International Workshop on Horizontal Interactive Human-Computer Systems: Tabletop),ISS,B,A,A,A,A,Journal Published,Journal Published
26,ACM International Conference on Knowledge Discovery and Data Mining,KDD,A*,A*,A*,A*,A*,A*,A*
27,ACM International Conference on Mobile Computing and Networking,MOBICOM,A*,A*,A*,A*,A*,A*,A*
28,ACM International Conference on Recommender Systems,RecSys,B,B,B,B,B,A,A
29,ACM International Conference on Research and Development in Information Retrieval,SIGIR,A*,A*,A*,A*,A*,A*,A*
30,ACM International Conference on Supercomputing,ICS,A,A,A,A,A,A,A
2175,ACM International Conference on Systems for Energy-Efficient Built Environments,BuildSys,,,,A,,,
52,"ACM International Conference on the Foundations of Software Engineering (was ESEC/FSE, changed 2024; duplicate previously listed as ESEC, removed from DB)",FSE,A,A,B,A*,A*,A*,A*
31,ACM International Conference on Web Search and Data Mining,WSDM,B,A*,A*,A*,A*,A*,A
1825,ACM International Joint Conference on Pervasive and Ubiquitous Computing (PERVASIVE and UbiComp combined from 2013),UbiComp,A*,A*,A*,A*,journal published,journal published,journal published
32,ACM International Symposium on Computer Architecture,ISCA,A*,A*,A*,A*,A*,A*,A*
33,ACM International Symposium on High Performance Distributed Computing,HPDC,A,A,A,A,A,A,A
34,ACM International Wireless Communications and Mobile Computing Conference,IWCMC,B,B,B,B,B,B,B
35,ACM International Workshop On Multimedia Databases,MMDB,C,C,C,C,,,
37,ACM Multimedia,ACMMM,A*,A*,A*,A*,A*,A*,A*
38,ACM SIG International Conference on Computer Graphics and Interactive Techniques,SIGGRAPH,A*,A*,A*,A*,A*,A*,A*
40,ACM SIGCHI_NZ Conference on Human-Computer Interaction,SIGCHI-NZ,Australasian,Australasian,Australasian,Australasian,,,
42,ACM SIGGRAPH/Eurographics Symposium on Computer Animation,SCA,B,B,B,B,B,B,B
43,ACM SIGIR Workshop on XML and Information Retrieval,SIGIR/XML,C,C,C,C,,,
83,ACM SIGMIS Computers and People Research,ACM-SIGMIS CPR,B,B,B,B,,,
45,"ACM SIGMOBILE International Conference on Mobile Systems, Applications and Services",Mobisys,B,B,B,B,B,B,A
46,ACM SIGMOD-SIGACT-SIGART Conference on Principles of Database Systems,PODS,A*,A*,A*,A*,A*,A*,A*
48,ACM SIGOPS Symposium on Operating Systems Principles,SOSP,A*,A*,A*,A*,A*,A*,A*
49,"ACM SIGPLAN Conference on Languages, Compilers and Tools for Embedded Systems",LCTES,A,A,A,A,A,B,B
50,ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation,PEPM,B,B,B,B,B,C,C
51,ACM SIGPLAN Workshop on Types in Language Design and Implementation (was TIC),TLDI,C,C,C,C,,,
78,ACM SIGSIM Conference on Principles of Advanced Discrete Simulation (was Parallel and Distributed Simulation),PADS,B,B,B,B,B,B,B
53,ACM SIGSOFT Workshop on Program Analysis for Software Tools and Engineering,PASTE,B,B,B,,,,
54,ACM SIGUCCS Conference on User Services,SIGUCCS,C,C,C,C,National: USA,National: USA,National: USA
55,ACM Special Interest Group on Computer Science Education Conference,SIGCSE,A,A,A,A,A,A,A
56,ACM Special Interest Group on Management of Data Conference,SIGMOD,A*,A*,A*,A*,A*,A*,A*
57,ACM Special Interest Group on Supporting Group Work (was SIGGRoup),Group,B,B,B,B,,,B
1775,"ACM Symposium on Access Control Models and Technologies (previously ACM Workshop on Role-Based Access Control, RBAC, changed in 2000)",SACMAT,C,C,C,C,C,C,C
59,ACM Symposium on Applied Computing,SAC,B,B,B,B,B,Multiconference,Multiconference
2003,ACM Symposium on Document Engineering,DocEng,A,B,B,B,B,B,B
58,ACM Symposium on Mobile Ad Hoc Networking and Computing,MOBIHOC,A,A,A,A,A,A,A
62,ACM Symposium on Principles of Database Systems,SPDS,C,C,C,C,,,
63,ACM Symposium on Principles of Distributed Computing,PODC,A*,A*,A*,A*,A*,A*,A*
2137,ACM Symposium on Software Reusability,SSR,A,A,A,A,,,
64,ACM Symposium on Solid and Physical Modelling,SPM,B,B,B,B,B,B,C
65,ACM Symposium on Theory of Computing,STOC,A*,A*,A*,A*,A*,A*,A*
66,ACM Symposium on User Interface Software and Technology,UIST,A,A,A,A,A,A*,A*
67,ACM Virtual Reality Software and Technology,VRST,A,A,A,A,A,A,A
68,ACM Workshop on Formal Methods in Security Engineering: From Specifications to Code,FMSE,C,C,C,C,,,
69,ACM Workshop on Hot Topics in Networks,HOTNETS,A,A,A,A,National: USA,National: USA,National: USA
70,ACM Workshop on Hot Topics in Software Upgrades,HotSWUp,C,C,C,C,,,
71,ACM Workshop on Role Based Access Control (now SACMAT),RBAC,C,C,,,,,
72,ACM Workshop on Scalable Trusted Computing,STC,B,B,B,B,,,
73,ACM Workshop on Secure Web Services,SWS,C,C,C,C,,,
74,ACM Workshop on Web Information and Data Management,WIDM,B,B,B,B,,,
82,ACM-SIGACT Symposium on Principles of Programming Languages,POPL,A*,A*,A*,A*,A*,A*,A*
84,ACM-SIGPLAN Conference on Programming Language Design and Implementation,PLDI,A*,A*,A*,A*,A*,A*,A*
85,ACM-SIGRAPH Interactive 3D Graphics and Games,I3DG,A*,B,B,B,B,B,B
75,ACM/IEEE International Conference on Distributed Smart Cameras,ICDSC,B,B,B,B,B,B,
2310,ACM/IEEE International Conference on Human-Robot Interaction,HRI,,,,,,,A
76,"ACM/IEEE International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems",MSWIM,A,A,A,A,A,A,A
2246,ACM/IEEE Symposium on Edge Computing,SEC,,,,,,unranked,unranked
79,ACM/IFIP/USENIX International Middleware Conference,Middleware,A,A,A,A,A,A,A
80,ACM/SIAM Symposium on Discrete Algorithms,SODA,A*,A*,A*,A*,A*,A*,A*
2278,ACM/SPEC International Conference on Performance Engineering,ICPE,,,,,,B,B
81,ACM/SPIE Multimedia Computing and Networking,MMCN,A,A,A,A,,,
86,ACS/IEEE International Conference on Computer Systems and Applications,AICCSA,C,C,C,C,C,C,C
87,Active and Real-Time Database Systems,ARTDB,C,C,C,C,,,
89,Advanced Concepts for Intelligent Vision Systems,ACIVS,B,B,B,B,B,B,B
90,Advanced Course on Artificial Intelligence,ACAI,C,C,C,C,,,
91,Advanced Research in VLSI,ARVLSI,C,C,C,C,,,
93,Advanced Visual Interfaces,AVI,B,B,B,B,B,B,B
94,Advances in Cryptology,CRYPTO,A*,A*,A*,A*,A*,A*,A*
95,Advances in Information Systems,ADVIS,C,C,C,C,,,
96,Advances in Intelligent Systems,AIS,C,C,C,C,,,
97,Advances in Modal Logic,AiML,A,A,A,A,A,B,B
98,Advances in Neural Information Processing Systems (was NIPS),NeurIPS,A*,A*,A*,A*,A*,A*,A*
99,Advances in the Theory of Computing,AITC,C,C,C,C,,,
100,Agent-Oriented Information Systems Workshop,AOIS,B,B,,,,,
105,Algebraic Methodology and Software Technology,AMAST,C,C,C,C,,,
106,Algorithmic Learning Theory,ALT,A,B,B,B,B,B,B
107,Algorithms and Complexity in Durham,ACID,C,C,C,C,,,
108,Algorithms and Data Structures Symposium (was Workshop on Algorithms and Data Structures),WADS,A,B,B,B,B,B,B
1964,Algorithms and Experiments,ALEX,B,B,B,B,,,
110,Ambient Intelligence Developments,Aml.d,C,C,C,C,,,
112,American Federation of Information Processing Societies,AFIPS,,,,A,,,
1968,American Medical Informatics Annual Fall Symposium,AMIA,A,A,A,A,National: USA,National: USA,National: USA
115,Americas Conference on Information Systems,AMCIS,A,A,A,A,,,
117,Annual Computer Security Applications Conference,ACSAC,A,A,A,A,National: usa,National: usa,A
118,Annual Conference of the Australasian Society for Computers in Learning in Tertiary Education,ASCILITE,Australasian,Australasian,Australasian,Australasian,,,
122,Annual Conference of the International Academy for Information Management,IAIM,C,C,C,C,,,
123,Annual Conference of the International Speech Communication Association (was Eurospeech),Interspeech,A,A,,,,,
1995,Annual Conference on Computer Science Logic,CSL,B,B,B,B,B,B,B
125,Annual Conference on Evolutionary Programming,EP,C,C,C,C,,,
126,Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE,A,A,A,A,A,A,B
127,"Annual Conference on Privacy, Security and Trust",PST,C,C,C,C,C,C,C
128,"Annual Convention for Survey, Mapping and Remote Sensing",RS,C,C,C,C,,,
129,Annual Fall Workshop on Computational Geometry,CGW,C,C,C,C,,,
2106,"Annual IASTED International Conference on Networks, Parallel and Distributed Processing and Applications",NPDP,C,C,,,,,
131,Annual International Conference on Ada,TRI-Ada,C,C,C,C,,,
132,Annual International Workshop on Presence,ISPR,B,B,B,B,B,B,C
120,Annual Meeting of the Cognitive Science Society,CogSci,A,A,A,A,A,A,B
133,Annual Meeting of the Decision Sciences Institute,DSI,C,C,C,C,,,
1729,Annual Meeting of the Special Interest Group on Discourse and Dialog,SIGdial,C,C,C,C,C,B,B
134,Annual PKI R&D Workshop,PKI,C,C,C,C,,,
135,Annual PPIG Workshop,PPIG,B,B,B,B,,,
136,Annual Simulation Symposium,ANSS,C,C,B,B,,,
139,AoM Organizational Communication and Information Systems,OCIS,A,A,A,A,,,
140,Apple University Consortium Academic and Developers Conference,AUCADC,C,C,C,C,,,
141,Application of Computers and Operations Research in the Minerals Industries,APCOMin,A,A,A,A,,,
142,Application of Concurrency to System Design,ACSD,B,B,B,B,B,B,
143,Applications of Information Visualization,IV-App,C,C,C,C,C,C,C
144,Applications of Natural Language to Data Bases,NLDB,C,C,C,C,C,C,C
145,Applied Computing Conference,ACC,C,C,C,C,C,C,C
146,Applied Perception in Graphics and Visualization,APGV,C,C,C,C,,,
147,Architectural Support for Programming Languages and Operating Systems,ASPLOS,A*,A*,A*,A*,A*,A*,A*
148,Argentine Symposium on Artificial Intelligence,ASAI,C,C,C,,,,
1958,Artificial Intelligence and Applications Conference,AIA,C,C,C,C,,,
2186,Artificial Intelligence Applications and Innovations,AIAI,,,,Regional,Regional,C,C
149,Artificial Intelligence in Knowledge Management,AIKM,C,C,C,C,,,
150,Artificial Intelligence in Medicine,AIIM,A,A,A,A,,,
152,Artificial Neural Networks in Engineering Conference,ANNIE,B,B,B,B,,,
917,"ArtsIT, Interactivity & Game Creation (was International Conference on Arts and Technology)",ArtsIT,C,C,C,C,C,C,C
162,Asia and South Pacific Design Automation Conference,ASPDAC,C,C,C,C,C,C,C
